score	frequency	target
-1897261	1	chm13
-1896479	1	chm13
-1895222	1	chm13
-1891886	1	chm13
-1890775	1	chm13
-1890471	1	chm13
-1888942	1	chm13
-1888905	1	chm13
-1888770	1	chm13
-1888289	1	chm13
-1888164	1	chm13
-1887495	1	chm13
-1883367	1	chm13
-1880754	1	chm13
-1876400	1	chm13
-1875711	1	chm13
-1875093	1	chm13
-1874765	1	chm13
-1872408	1	chm13
-1872287	1	chm13
-1871556	1	chm13
-1870679	1	chm13
-1869436	1	chm13
-1868420	1	chm13
-1866248	1	chm13
-1865398	1	chm13
-1865083	1	chm13
-1864286	1	chm13
-1861686	1	chm13
-1861504	1	chm13
-1861240	1	chm13
-1859648	1	chm13
-1859614	1	chm13
-1858715	1	chm13
-1858264	1	chm13
-1856436	1	chm13
-1854662	1	chm13
-1854608	1	chm13
-1854003	1	chm13
-1852208	1	chm13
-1849052	1	chm13
-1847292	1	chm13
-1847243	1	chm13
-1843154	1	chm13
-1835636	1	chm13
-1829219	1	chm13
-1828862	1	chm13
-1828381	1	chm13
-1825409	1	chm13
-1824579	1	chm13
-1824354	1	chm13
-1824306	1	chm13
-1823513	1	chm13
-1817853	1	chm13
-1817044	1	chm13
-1816356	1	chm13
-1815576	1	chm13
-1812876	1	chm13
-1812594	1	chm13
-1812436	1	chm13
-1809334	1	chm13
-1803350	1	chm13
-1802938	1	chm13
-1801755	1	chm13
-1800652	1	chm13
-1800565	1	chm13
-1797018	1	chm13
-1796824	1	chm13
-1796768	1	chm13
-1795355	1	chm13
-1792119	1	chm13
-1791039	1	chm13
-1788487	1	chm13
-1787678	1	chm13
-1784510	1	chm13
-1783795	1	chm13
-1782055	1	chm13
-1780008	1	chm13
-1779652	1	chm13
-1778544	1	chm13
-1777156	1	chm13
-1775397	1	chm13
-1773801	1	chm13
-1773741	1	chm13
-1772498	1	chm13
-1772440	1	chm13
-1772142	1	chm13
-1771544	1	chm13
-1771283	1	chm13
-1771208	1	chm13
-1770797	1	chm13
-1770438	1	chm13
-1770399	1	chm13
-1768702	1	chm13
-1768496	1	chm13
-1767127	1	chm13
-1765148	1	chm13
-1763067	1	chm13
-1761258	1	chm13
-1760272	1	chm13
-1759571	1	chm13
-1758785	1	chm13
-1758238	1	chm13
-1757259	1	chm13
-1756305	1	chm13
-1756065	1	chm13
-1750565	1	chm13
-1748282	1	chm13
-1747178	1	chm13
